date,TOTAL_MWh,NG_MWh
2019-01-01,986867.0,475027.0
2019-01-02,1132344.0,709027.0
2019-01-03,1104607.0,635041.0
2019-01-04,1016441.0,587463.0
2019-01-05,905098.0,433087.0
2019-01-06,834227.0,212468.0
2019-01-07,839297.0,316178.0
2019-01-08,859372.0,359638.0
2019-01-09,893524.0,465746.0
2019-01-10,937552.0,398202.0
2019-01-11,922859.0,318669.0
2019-01-12,886337.0,332712.0
2019-01-13,965480.0,542718.0
2019-01-14,1050040.0,635955.0
2019-01-15,1016758.0,525424.0
2019-01-16,936023.0,354785.0
2019-01-17,869600.0,381924.0
2019-01-18,886014.0,191110.0
2019-01-19,966667.0,309812.0
2019-01-20,1026877.0,453169.0
2019-01-21,1003150.0,261755.0
2019-01-22,905193.0,222969.0
2019-01-23,1082309.0,494285.0
2019-01-24,1057358.0,445426.0
2019-01-25,1005738.0,523372.0
2019-01-26,913720.0,460361.0
2019-01-27,875651.0,349902.0
2019-01-28,933528.0,243063.0
2019-01-29,1044674.0,539416.0
2019-01-30,1062501.0,500019.0
2019-01-31,983179.0,356706.0
2019-02-01,873857.0,350623.0
2019-02-02,815615.0,221160.0
2019-02-03,796201.0,149054.0
2019-02-04,851401.0,293335.0
2019-02-05,877536.0,278153.0
2019-02-06,894455.0,254864.0
2019-02-07,931771.0,337986.0
2019-02-08,1190909.0,641539.0
2019-02-09,1147307.0,602496.0
2019-02-10,1021368.0,496550.0
2019-02-11,938672.0,297402.0
2019-02-12,908190.0,374495.0
2019-02-13,971392.0,260397.0
2019-02-14,879818.0,250361.0
2019-02-15,867727.0,290476.0
2019-02-16,916009.0,364178.0
2019-02-17,869213.0,354648.0
2019-02-18,1008510.0,412222.0
2019-02-19,1074856.0,601776.0
2019-02-20,986054.0,445885.0
2019-02-21,974219.0,357631.0
2019-02-22,939536.0,426652.0
2019-02-23,847674.0,206124.0
2019-02-24,855915.0,325034.0
2019-02-25,922584.0,248449.0
2019-02-26,881437.0,310343.0
2019-02-27,893591.0,356895.0
2019-02-28,1044890.0,550193.0
2019-03-01,1002235.0,491572.0
2019-03-02,937928.0,424727.0
2019-03-03,1018371.0,429501.0
2019-03-04,1295957.0,710066.0
2019-03-05,1216037.0,720421.0
2019-03-06,1097481.0,452709.0
2019-03-07,916621.0,287599.0
2019-03-08,874795.0,306029.0
2019-03-09,853808.0,316726.0
2019-03-10,805518.0,347191.0
2019-03-11,881468.0,444765.0
2019-03-12,877088.0,293084.0
2019-03-13,866734.0,229298.0
2019-03-14,848737.0,268258.0
2019-03-15,858852.0,350809.0
2019-03-16,845899.0,422387.0
2019-03-17,819966.0,433028.0
2019-03-18,856429.0,442357.0
2019-03-19,843003.0,344690.0
2019-03-20,836843.0,412272.0
2019-03-21,842540.0,442218.0
2019-03-22,837535.0,259462.0
2019-03-23,792933.0,286641.0
2019-03-24,814905.0,342378.0
2019-03-25,882142.0,454388.0
2019-03-26,848351.0,374239.0
2019-03-27,845539.0,207628.0
2019-03-28,850278.0,221476.0
2019-03-29,857654.0,298625.0
2019-03-30,814271.0,209843.0
2019-03-31,847488.0,374945.0
2019-04-01,908869.0,504923.0
2019-04-02,890418.0,283717.0
2019-04-03,848825.0,221259.0
2019-04-04,902813.0,433052.0
2019-04-05,899982.0,368230.0
2019-04-06,851034.0,361345.0
2019-04-07,810589.0,354015.0
2019-04-08,895324.0,485915.0
2019-04-09,951014.0,413145.0
2019-04-10,980882.0,323823.0
2019-04-11,894942.0,363158.0
2019-04-12,860247.0,356978.0
2019-04-13,852816.0,247687.0
2019-04-14,800852.0,319968.0
2019-04-15,871944.0,249062.0
2019-04-16,902508.0,266693.0
2019-04-17,944781.0,323578.0
2019-04-18,869538.0,292006.0
