Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price,year
12/01/2010,01:00,N,HB_HOUSTON,35.33,2010
12/01/2010,02:00,N,HB_HOUSTON,30.45,2010
12/01/2010,03:00,N,HB_HOUSTON,29.36,2010
12/01/2010,04:00,N,HB_HOUSTON,29.41,2010
12/01/2010,05:00,N,HB_HOUSTON,30.72,2010
12/01/2010,06:00,N,HB_HOUSTON,35.28,2010
12/01/2010,07:00,N,HB_HOUSTON,44.72,2010
12/01/2010,08:00,N,HB_HOUSTON,45.65,2010
12/01/2010,09:00,N,HB_HOUSTON,41.01,2010
12/01/2010,10:00,N,HB_HOUSTON,36.48,2010
12/01/2010,11:00,N,HB_HOUSTON,35.58,2010
12/01/2010,12:00,N,HB_HOUSTON,32.96,2010
12/01/2010,13:00,N,HB_HOUSTON,32.41,2010
12/01/2010,14:00,N,HB_HOUSTON,31.24,2010
12/01/2010,15:00,N,HB_HOUSTON,30.46,2010
12/01/2010,16:00,N,HB_HOUSTON,30.24,2010
12/01/2010,17:00,N,HB_HOUSTON,31.46,2010
12/01/2010,18:00,N,HB_HOUSTON,33.97,2010
12/01/2010,19:00,N,HB_HOUSTON,39.99,2010
12/01/2010,20:00,N,HB_HOUSTON,39.48,2010
12/01/2010,21:00,N,HB_HOUSTON,36.68,2010
12/01/2010,22:00,N,HB_HOUSTON,37.17,2010
12/01/2010,23:00,N,HB_HOUSTON,32.09,2010
12/01/2010,24:00,N,HB_HOUSTON,32.09,2010
12/02/2010,01:00,N,HB_HOUSTON,28.11,2010
12/02/2010,02:00,N,HB_HOUSTON,26.85,2010
12/02/2010,03:00,N,HB_HOUSTON,26.76,2010
12/02/2010,04:00,N,HB_HOUSTON,26.97,2010
12/02/2010,05:00,N,HB_HOUSTON,27.71,2010
12/02/2010,06:00,N,HB_HOUSTON,30.23,2010
12/02/2010,07:00,N,HB_HOUSTON,39.65,2010
12/02/2010,08:00,N,HB_HOUSTON,45.55,2010
12/02/2010,09:00,N,HB_HOUSTON,39.27,2010
12/02/2010,10:00,N,HB_HOUSTON,34.88,2010
12/02/2010,11:00,N,HB_HOUSTON,32.54,2010
12/02/2010,12:00,N,HB_HOUSTON,31.75,2010
12/02/2010,13:00,N,HB_HOUSTON,30.9,2010
12/02/2010,14:00,N,HB_HOUSTON,29.28,2010
12/02/2010,15:00,N,HB_HOUSTON,29.8,2010
12/02/2010,16:00,N,HB_HOUSTON,28.94,2010
12/02/2010,17:00,N,HB_HOUSTON,29.54,2010
12/02/2010,18:00,N,HB_HOUSTON,34.54,2010
12/02/2010,19:00,N,HB_HOUSTON,40.28,2010
12/02/2010,20:00,N,HB_HOUSTON,40.31,2010
12/02/2010,21:00,N,HB_HOUSTON,36.89,2010
12/02/2010,22:00,N,HB_HOUSTON,35.92,2010
12/02/2010,23:00,N,HB_HOUSTON,30.4,2010
12/02/2010,24:00,N,HB_HOUSTON,30.5,2010
12/03/2010,01:00,N,HB_HOUSTON,24.76,2010
12/03/2010,02:00,N,HB_HOUSTON,22.09,2010
12/03/2010,03:00,N,HB_HOUSTON,21.51,2010
12/03/2010,04:00,N,HB_HOUSTON,22.52,2010
12/03/2010,05:00,N,HB_HOUSTON,23.66,2010
12/03/2010,06:00,N,HB_HOUSTON,27.08,2010
12/03/2010,07:00,N,HB_HOUSTON,36.68,2010
12/03/2010,08:00,N,HB_HOUSTON,38.45,2010
12/03/2010,09:00,N,HB_HOUSTON,38.0,2010
12/03/2010,10:00,N,HB_HOUSTON,33.97,2010
12/03/2010,11:00,N,HB_HOUSTON,31.31,2010
12/03/2010,12:00,N,HB_HOUSTON,30.71,2010
12/03/2010,13:00,N,HB_HOUSTON,29.86,2010
12/03/2010,14:00,N,HB_HOUSTON,28.94,2010
12/03/2010,15:00,N,HB_HOUSTON,28.69,2010
12/03/2010,16:00,N,HB_HOUSTON,28.61,2010
12/03/2010,17:00,N,HB_HOUSTON,29.69,2010
12/03/2010,18:00,N,HB_HOUSTON,33.02,2010
12/03/2010,19:00,N,HB_HOUSTON,37.93,2010
12/03/2010,20:00,N,HB_HOUSTON,37.72,2010
12/03/2010,21:00,N,HB_HOUSTON,31.89,2010
12/03/2010,22:00,N,HB_HOUSTON,29.46,2010
12/03/2010,23:00,N,HB_HOUSTON,29.94,2010
12/03/2010,24:00,N,HB_HOUSTON,28.49,2010
12/04/2010,01:00,N,HB_HOUSTON,22.09,2010
12/04/2010,02:00,N,HB_HOUSTON,21.82,2010
12/04/2010,03:00,N,HB_HOUSTON,21.59,2010
12/04/2010,04:00,N,HB_HOUSTON,21.3,2010
12/04/2010,05:00,N,HB_HOUSTON,21.93,2010
12/04/2010,06:00,N,HB_HOUSTON,22.24,2010
12/04/2010,07:00,N,HB_HOUSTON,22.1,2010
12/04/2010,08:00,N,HB_HOUSTON,25.93,2010
12/04/2010,09:00,N,HB_HOUSTON,29.98,2010
12/04/2010,10:00,N,HB_HOUSTON,30.5,2010
12/04/2010,11:00,N,HB_HOUSTON,30.33,2010
12/04/2010,12:00,N,HB_HOUSTON,30.07,2010
12/04/2010,13:00,N,HB_HOUSTON,29.36,2010
12/04/2010,14:00,N,HB_HOUSTON,28.57,2010
12/04/2010,15:00,N,HB_HOUSTON,27.89,2010
12/04/2010,16:00,N,HB_HOUSTON,28.41,2010
12/04/2010,17:00,N,HB_HOUSTON,28.52,2010
12/04/2010,18:00,N,HB_HOUSTON,32.37,2010
12/04/2010,19:00,N,HB_HOUSTON,38.1,2010
12/04/2010,20:00,N,HB_HOUSTON,35.38,2010
12/04/2010,21:00,N,HB_HOUSTON,31.43,2010
12/04/2010,22:00,N,HB_HOUSTON,31.1,2010
12/04/2010,23:00,N,HB_HOUSTON,29.46,2010
12/04/2010,24:00,N,HB_HOUSTON,29.98,2010
12/05/2010,01:00,N,HB_HOUSTON,24.0,2010
12/05/2010,02:00,N,HB_HOUSTON,23.93,2010
12/05/2010,03:00,N,HB_HOUSTON,23.87,2010
12/05/2010,04:00,N,HB_HOUSTON,24.0,2010
12/05/2010,05:00,N,HB_HOUSTON,24.0,2010
12/05/2010,06:00,N,HB_HOUSTON,26.0,2010
12/05/2010,07:00,N,HB_HOUSTON,29.27,2010
12/05/2010,08:00,N,HB_HOUSTON,30.92,2010
12/05/2010,09:00,N,HB_HOUSTON,31.1,2010
12/05/2010,10:00,N,HB_HOUSTON,32.26,2010
12/05/2010,11:00,N,HB_HOUSTON,32.0,2010
12/05/2010,12:00,N,HB_HOUSTON,31.15,2010
12/05/2010,13:00,N,HB_HOUSTON,30.27,2010
12/05/2010,14:00,N,HB_HOUSTON,28.92,2010
12/05/2010,15:00,N,HB_HOUSTON,27.95,2010
12/05/2010,16:00,N,HB_HOUSTON,28.08,2010
12/05/2010,17:00,N,HB_HOUSTON,28.83,2010
12/05/2010,18:00,N,HB_HOUSTON,33.87,2010
12/05/2010,19:00,N,HB_HOUSTON,41.9,2010
12/05/2010,20:00,N,HB_HOUSTON,40.35,2010
12/05/2010,21:00,N,HB_HOUSTON,36.85,2010
12/05/2010,22:00,N,HB_HOUSTON,32.97,2010
12/05/2010,23:00,N,HB_HOUSTON,32.06,2010
12/05/2010,24:00,N,HB_HOUSTON,32.2,2010
12/06/2010,01:00,N,HB_HOUSTON,26.01,2010
12/06/2010,02:00,N,HB_HOUSTON,25.94,2010
12/06/2010,03:00,N,HB_HOUSTON,25.25,2010
12/06/2010,04:00,N,HB_HOUSTON,25.7,2010
12/06/2010,05:00,N,HB_HOUSTON,27.03,2010
12/06/2010,06:00,N,HB_HOUSTON,38.41,2010
12/06/2010,07:00,N,HB_HOUSTON,50.01,2010
12/06/2010,08:00,N,HB_HOUSTON,51.04,2010
12/06/2010,09:00,N,HB_HOUSTON,45.98,2010
12/06/2010,10:00,N,HB_HOUSTON,39.55,2010
12/06/2010,11:00,N,HB_HOUSTON,36.0,2010
12/06/2010,12:00,N,HB_HOUSTON,33.0,2010
12/06/2010,13:00,N,HB_HOUSTON,31.09,2010
